b_R	OPTIMAL_COST	PLANNED	KNOWN	
-4.220000000000017	241.71595475631227	392.4802117874949	532.6349563996251	
-4.210000000000017	241.67182788411628	392.8518009694671	518.9472797855243	
-4.200000000000017	241.74861951664437	396.1487074450121	529.280146183309	
-4.190000000000017	241.70476165655813	391.2521115406331	539.1388764238076	
-4.1800000000000175	241.7382882945032	395.5290973975102	537.5766008401583	
-4.170000000000018	241.67200088866494	393.4130502455589	538.661543093424	
-4.160000000000018	241.70084516739985	392.8500339593643	536.9626502380015	
-4.150000000000018	241.71868165576518	394.52833003324815	545.4524163637517	
-4.140000000000018	241.77527485439862	395.3944842016608	551.8539737111903	
-4.1300000000000185	241.76115591127092	392.6120796386722	547.2445931762614	
-4.120000000000019	241.70801470139162	395.3925580594081	539.047941013104	
-4.110000000000019	241.69873425585703	392.8905938706847	551.9779092752325	
-4.100000000000019	241.65138430352204	393.6457993285223	552.0670031784731	
-4.090000000000019	241.76576129513944	393.96089263984504	523.2380750167712	
-4.08000000000002	241.70807543184475	394.50529685437675	547.1929400701006	
-4.07000000000002	241.68035421654153	395.20430846896426	539.7566146266304	
-4.06000000000002	241.7724498611775	393.86681574175674	547.36364787075	
-4.05000000000002	241.69643410590595	393.22107138835395	544.1149697208701	
-4.0400000000000205	241.6803619873986	392.17330662974297	539.5348953292303	
-4.030000000000021	241.66700325064284	394.1022864359227	541.7950951071093	
-4.020000000000021	241.72604854412296	394.30406122774696	540.9546613785485	
-4.010000000000021	241.76312540063645	394.630021644415	529.98951340425	
-4.000000000000021	241.75482326182072	393.0228699294244	545.6140175009439	
-3.9900000000000215	241.647106200917	396.2707860607636	551.0224692542777	
-3.9800000000000217	241.71461164216134	394.6943573440067	539.3459241249368	
-3.970000000000022	241.75385660675408	391.7248296319423	556.2660892277778	
-3.960000000000022	241.7049394175221	392.70805466577895	542.6106174690701	
-3.9500000000000224	241.69903796256114	393.61637434756983	549.4908813936285	
-3.9400000000000226	241.7249316104652	393.93545251501786	549.8902603077543	
-3.930000000000023	241.74350011262888	392.82688012010976	555.6901697999074	
-3.920000000000023	241.7005557504279	393.9442795635591	547.4342511478558	
